"Subject","Session","Block","Trial","LocationNumber","ClickNumber","Timestamp","SetSize","LocationX","LocationY","ColorIndex","TrueColor","RespColor","Error","RT"
"0","1","0","0","1","3","1667572652","6","5.996344962114574","0.2093969802150058","70","[ 1.   -0.21  0.22]","[-1.0, -1.0, -1.0]","None","6.117228199989768"
"0","1","0","0","2","1","1667572652","6","2.8168293767153454","5.297685557153561","231","[-1.    0.48  0.96]","[-1.0, -1.0, -1.0]","None","1.8019760999886785"
"0","1","0","0","3","6","1667572652","6","-3.179515585399229","5.088288576938556","345","[ 0.6   0.3  -0.37]","[-1.0, -1.0, -1.0]","None","9.419904799986398"
"0","1","0","0","4","5","1667572652","6","-6.0","7.347880794884119e-16","165","[0.21 0.23 1.  ]","[-1.0, -1.0, -1.0]","None","7.736396199994488"
"0","1","0","0","5","4","1667572652","6","-3.3551574208244794","-4.974225435330251","37","[ 1.   -0.01 -0.18]","[-1.0, -1.0, -1.0]","None","6.918871300003957"
"0","1","0","0","6","2","1667572652","6","3.26783421009016","-5.032023407672545","195","[-1.    0.39  1.  ]","[-1.0, -1.0, -1.0]","None","4.462912299990421"
"0","1","0","1","1","4","1667572667","6","5.481272745855605","2.4404198584548014","65","[ 1.   -0.18  0.15]","[-1.0, -1.0, -1.0]","None","8.842408600001363"
"0","1","0","1","2","3","1667572667","6","0.3140157374576638","5.991777208527443","160","[0.33 0.2  1.  ]","[-1.0, -1.0, -1.0]","None","7.2064511999778915"
"0","1","0","1","3","1","1667572667","6","-4.662875768741825","3.7759223462990246","338","[ 0.51  0.33 -0.35]","[-1.0, -1.0, -1.0]","None","3.2919608999800403"
"0","1","0","1","4","2","1667572667","6","-5.5631031274007245","-2.247639560495472","217","[-1.    0.45  1.  ]","[-1.0, -1.0, -1.0]","None","4.343390299996827"
"0","1","0","1","5","6","1667572667","6","-0.6271707796059202","-5.96713137220964","309","[ 0.1   0.44 -0.1 ]","[-1.0, -1.0, -1.0]","None","10.729810099990573"
"0","1","0","1","6","5","1667572667","6","4.91491226573395","-3.441458618106279","112","[ 1.   -0.13  0.8 ]","[-1.0, -1.0, -1.0]","None","9.614050699979998"
"0","1","0","2","1","1","1667572675","4","5.523029120714642","2.3443867709356425","172","[0.02 0.28 1.  ]","[-1.0, -1.0, -1.0]","None","0.5794333000085317"
"0","1","0","2","2","4","1667572675","4","-2.1502076972718016","5.601482558983211","298","[-0.09  0.47  0.04]","[-1.0, -1.0, -1.0]","None","3.174580600025365"
"0","1","0","2","3","3","1667572675","4","-5.5631031274007245","-2.247639560495472","72","[ 1.   -0.2   0.24]","[-1.0, -1.0, -1.0]","None","1.9700406000192743"
"0","1","0","2","4","2","1667572675","4","2.6302268807344644","-5.392764277795003","238","[-1.    0.49  0.87]","[-1.0, -1.0, -1.0]","None","1.323917400004575"
"0","1","0","3","1","2","1667572684","4","5.846220388711411","1.34970632606319","251","[-1.   0.5  0.7]","[-1.0, -1.0, -1.0]","None","3.404284500022186"
"0","1","0","3","2","1","1667572684","4","-1.247470144906556","5.868885604402834","109","[ 1.   -0.15  0.76]","[-1.0, -1.0, -1.0]","None","1.2685523000254761"
"0","1","0","3","3","4","1667572684","4","-5.868885604402833","-1.247470144906557","184","[-0.34  0.33  1.  ]","[-1.0, -1.0, -1.0]","None","5.289028200000757"
"0","1","0","3","4","3","1667572684","4","1.5529142706151218","-5.79555495773441","277","[-0.54  0.49  0.33]","[-1.0, -1.0, -1.0]","None","4.299544700013939"
"0","1","0","4","1","1","1667572689","1","5.999086170938348","-0.10471443862370136","287","[-0.29  0.48  0.19]","[-1.0, -1.0, -1.0]","None","1.268081299989717"
"0","1","0","5","1","1","1667572695","2","2.8168293767153454","5.297685557153561","291","[-0.22  0.47  0.13]","[-1.0, -1.0, -1.0]","None","0.9686898000072688"
"0","1","0","5","2","2","1667572695","2","-3.3551574208244794","-4.974225435330251","152","[0.5  0.15 1.  ]","[-1.0, -1.0, -1.0]","None","2.221815900004003"
"0","1","0","6","1","1","1667572701","1","-5.868885604402833","-1.247470144906557","18","[ 0.98  0.11 -0.33]","[-1.0, -1.0, -1.0]","None","1.0335374000133015"
"0","1","0","7","1","3","1667572708","4","4.458868952864366","4.014783638153149","259","[-1.    0.5   0.58]","[-1.0, -1.0, -1.0]","None","2.9021127999876626"
"0","1","0","7","2","2","1667572708","4","-4.596266658713867","3.856725658119237","122","[ 0.99 -0.07  0.92]","[-1.0, -1.0, -1.0]","None","2.1477703000127804"
"0","1","0","7","3","1","1667572708","4","-3.7759223462990272","-4.662875768741824","358","[ 0.76  0.24 -0.4 ]","[-1.0, -1.0, -1.0]","None","1.4293094000022393"
"0","1","0","7","4","4","1667572708","4","4.388122209715024","-4.09199016037499","25","[ 1.    0.07 -0.29]","[-1.0, -1.0, -1.0]","None","3.577544300002046"
"0","1","0","8","1","1","1667572714","1","-5.846220388711411","-1.3497063260631899","42","[ 1.   -0.05 -0.13]","[-1.0, -1.0, -1.0]","None","1.5488454999867827"
"0","1","0","9","1","3","1667572724","4","5.991777208527443","0.314015737457663","51","[ 1.   -0.11 -0.03]","[-1.0, -1.0, -1.0]","None","3.1805630999733694"
"0","1","0","9","2","2","1667572724","4","-1.247470144906556","5.868885604402834","147","[0.59 0.11 1.  ]","[-1.0, -1.0, -1.0]","None","2.478065399976913"
"0","1","0","9","3","1","1667572724","4","-5.889763100685984","-1.1448539722592683","86","[ 1.   -0.22  0.44]","[-1.0, -1.0, -1.0]","None","1.8425137999875005"
"0","1","0","9","4","4","1667572724","4","0.6271707796059179","-5.96713137220964","206","[-1.    0.43  1.  ]","[-1.0, -1.0, -1.0]","None","5.7063537999929395"
"0","1","0","10","1","1","1667572737","2","-5.437846722219899","2.535709570444197","202","[-1.    0.41  1.  ]","[-1.0, -1.0, -1.0]","None","8.498059000005014"
"0","1","0","10","2","2","1667572737","2","5.4378467222199","-2.535709570444195","36","[ 1.   -0.01 -0.18]","[-1.0, -1.0, -1.0]","None","9.602106000005733"
"0","1","0","11","1","1","1667572744","2","-3.5267115137548384","4.854101966249685","234","[-1.    0.49  0.93]","[-1.0, -1.0, -1.0]","None","1.4677891000173986"
"0","1","0","11","2","2","1667572744","2","3.000000000000001","-5.196152422706632","68","[ 1.   -0.19  0.18]","[-1.0, -1.0, -1.0]","None","3.002626900008181"
"0","1","0","12","1","2","1667572754","6","5.908846518073248","1.041889066001582","349","[ 0.65  0.29 -0.39]","[-1.0, -1.0, -1.0]","None","1.682049700000789"
"0","1","0","12","2","1","1667572754","6","1.9534089267429406","5.673111453595901","168","[0.13 0.25 1.  ]","[-1.0, -1.0, -1.0]","None","1.0422832999902312"
"0","1","0","12","3","6","1667572754","6","-3.9363541739430428","4.528257481336633","29","[ 1.    0.04 -0.25]","[-1.0, -1.0, -1.0]","None","5.459870599996066"
"0","1","0","12","4","5","1667572754","6","-5.79555495773441","-1.5529142706151249","260","[-1.    0.5   0.58]","[-1.0, -1.0, -1.0]","None","4.67202629998792"
"0","1","0","12","5","3","1667572754","6","-1.9534089267429398","-5.673111453595901","229","[-1.    0.48  0.99]","[-1.0, -1.0, -1.0]","None","3.231034099997487"
"0","1","0","12","6","4","1667572754","6","3.775922346299025","-4.6628757687418245","60","[ 1.   -0.17  0.07]","[-1.0, -1.0, -1.0]","None","3.962353199982317"
"0","1","0","13","1","1","1667572759","1","-5.673111453595901","1.9534089267429395","151","[0.53 0.14 1.  ]","[-1.0, -1.0, -1.0]","None","1.5580654999939725"
"0","1","0","14","1","1","1667572764","1","-2.344386770935643","5.523029120714641","315","[ 0.18  0.42 -0.15]","[-1.0, -1.0, -1.0]","None","0.6669736999901943"
"0","1","0","15","1","3","1667572775","6","2.8168293767153454","5.297685557153561","258","[-1.    0.51  0.6 ]","[-1.0, -1.0, -1.0]","None","4.04195690000779"
"0","1","0","15","2","2","1667572775","6","-2.440419858454802","5.481272745855605","207","[-1.    0.43  1.  ]","[-1.0, -1.0, -1.0]","None","2.3201599000021815"
"0","1","0","15","3","1","1667572775","6","-5.999086170938348","0.10471443862370064","180","[-0.2   0.32  1.  ]","[-1.0, -1.0, -1.0]","None","0.9302662000118289"
"0","1","0","15","4","6","1667572775","6","-3.0000000000000027","-5.196152422706631","305","[ 0.03  0.45 -0.05]","[-1.0, -1.0, -1.0]","None","6.7802556000242475"
"0","1","0","15","5","5","1667572775","6","3.179515585399228","-5.088288576938556","87","[ 1.   -0.22  0.45]","[-1.0, -1.0, -1.0]","None","5.990469400014263"
"0","1","0","15","6","4","1667572775","6","5.996344962114574","0.2093969802150073","145","[0.64 0.1  1.  ]","[-1.0, -1.0, -1.0]","None","4.9294430000009015"
"0","1","0","16","1","3","1667572787","4","3.0902284494603247","5.143003804212674","355","[ 0.73  0.25 -0.4 ]","[-1.0, -1.0, -1.0]","None","7.434617299993988"
"0","1","0","16","2","2","1667572787","4","-4.97422543533025","3.355157420824481","184","[-0.34  0.33  1.  ]","[-1.0, -1.0, -1.0]","None","6.526261099992553"
"0","1","0","16","3","1","1667572787","4","-3.267834210090162","-5.032023407672545","100","[ 1.   -0.2   0.63]","[-1.0, -1.0, -1.0]","None","5.306904199998826"
"0","1","0","16","4","4","1667572787","4","5.032023407672544","-3.267834210090162","295","[-0.14  0.47  0.07]","[-1.0, -1.0, -1.0]","None","8.306681299989577"
"0","1","0","17","1","2","1667572795","2","-4.242640687119285","4.242640687119286","123","[ 0.98 -0.07  0.94]","[-1.0, -1.0, -1.0]","None","3.188634100020863"
"0","1","0","17","2","1","1667572795","2","4.458868952864366","-4.0147836381531485","66","[ 1.   -0.18  0.16]","[-1.0, -1.0, -1.0]","None","1.9141769999987446"
